Kosa Kata,Arti Kata
tears {lágrimas},Kelembaban disekresikan dari kelenjar lakrimal.
telangiectasia,Pelebaran permanen pembuluh darah kecil.
temporal bone,Tulang besar yang membentuk dasar dan sisi tengkorak.
temporal lobe,Salah satu dari empat bagian setiap belahan otak besar.
temporomandibular joint (TMJ),Sendi rahang bawah antara tulang temporal dan mandibula.
temporomandibular joint (TMJ) dysfunction,Nyeri di garis rahang akibat dislokasi sendi.
"tendinitis, tendonitis {tendonitis}",Peradangan tendon.
tendon {tendon},Pita berserat yang menghubungkan otot ke tulang atau struktur lain.
tenotomy {tenotomía},Pemotongan tendon secara bedah.
teratoma,Pertumbuhan mengandung beberapa jenis jaringan dan berbagai jenis sel.
terminal end fibers,Sekelompok serat di ujung akson yang melewati impuls meninggalkan neuron ke neuron berikutnya.
testicle {testículo},See testis.
"testis (pl., testes) TES-ti-kl] {testículo}",Organ laki-laki yang menghasilkan sperma dan terdapat di dalam skrotum; salah satu dari dua organ pria yang mengeluarkan
testosterone {testosterona},Hormon utama pria.
tetany {tetania},"Kontraksi otot panjang yang menyakitkan. Kelumpuhan otot, biasanya karena penurunan kadar kalsium terionisasi dalam dara"
tetralogy of Fallot,Kumpulan empat kelainan jantung bawaan yang muncul bersamaan yang menyebabkan darah terdeoksigenasi masuk ke sirkulasi s
thalamus {tálamo},Salah satu dari empat bagian diencephalon; berfungsi sebagai stasiun pemancar sensorik.
thalassemia {talasemia},Gangguan keturunan yang ditandai dengan ketidakmampuan untuk menghasilkan hemoglobin yang cukup.
therapeutic drug monitoring (TDM),Mengambil tes darah atau urin secara teratur untuk melacak penggunaan obat dan efektivitas pengobatan.
therapeutic massage,"Merangsang kulit, otot, dan jaringan untuk mempercepat penyembuhan."
therapeutic touch,Penumpangan tangan untuk mempercepat penyembuhan.
therapist,Profesional nonmedis terlatih dalam pengobatan gangguan mental melalui terapi bicara.
third molar,Molar terjauh dari median garis rahang.
third-degree burn,Jenis luka bakar paling parah; melibatkan penghancuran total suatu area kulit.
thoracic cavity,"Ruang tubuh di atas rongga perut yang berisi jantung, paru-paru, dan pembuluh darah utama."
thoracic surgeon,Ahli bedah yang mengkhususkan diri dalam pembedahan dada.
thoracic vertebrae,Dua belas ruas dada.
thoracocentesis {toracocentesis},Tusukan bedah rongga dada.
thoracostomy {toracostomía},Terbentuknya lubang di rongga dada.
thoracotomy {toracotomía},Insisi ke rongga dada.
thorax {tórax},Bagian batang antara leher dan perut; dada; rongga dada.
throat {garganta},Lihat faring.
throat culture,Tes untuk infeksi streptokokus atau lainnya di mana usapan yang diambil pada permukaan tenggorokan ditempatkan dalam bia
thrombectomy {trombectomia},Operasi pengangkatan trombus.
thrombin {trombina},Enzim yang membantu pembentukan gumpalan.
thrombocyte {trombocito},Trombosit; fragmen sel yang menghasilkan trombin.
thrombocytopenia,Kondisi perdarahan dengan produksi trombosit yang tidak mencukupi.
thrombolytic,Agen yang melarutkan trombus; agen yang melarutkan gumpalan darah.
thrombophlebitis {tromboflebitis},Peradangan vena dengan trombus.
thromboplastin,Protein yang membantu pembentukan bekuan fibrin.
thrombosis {trombosis},Adanya trombus di pembuluh darah.
thrombotic stroke,Stroke yang disebabkan oleh trombus.
thrombotic occlusion,Penyempitan yang disebabkan oleh trombus.
thrombus {trombo},"Pembekuan darah; bekuan darah stasioner dalam sistem kardiovaskular, biasanya terbentuk dari materi yang ditemukan di da"
thymectomy {timectomía},Pengangkatan kelenjar timus.
thymoma {timoma},Tumor kelenjar timus.
thymosin {timosina},Hormon disekresikan oleh kelenjar timus yang membantu distribusi timosit dan limfosit.
thymus gland,Kelenjar lunak dengan dua lobus yang terlibat dalam respon imun; terletak di mediastinum; kelenjar yang merupakan bagian
thyroid gland,Kelenjar dengan dua lobus terletak di kedua sisi trakea; membantu mengontrol kadar kalsium darah dan fungsi metabolisme.
thyroid cartilage,Lihat jakun.
thyroid function test or study,"Tes kadar TSH, T3, dan T4 dalam plasma darah untuk menentukan fungsi tiroid."
thyroid scan,Tes pencitraan untuk kelainan tiroid.
thyroidectomy {tiroidectomía},Pengangkatan tiroid.
thyroid-stimulating hormone (TSH),Hormon disekresi oleh kelenjar hipofisis anterior; merangsang pelepasan hormon tiroid.
thyrotoxicosis,Kelebihan kelenjar tiroid.
thyroxine,Senyawa yang ditemukan di atau diproduksi untuk kelenjar tiroid; membantu mengatur metabolisme.
tibia {tibia},Lebih besar dari dua tulang kaki bagian bawah.
tic {tic},Gerakan kedutan yang menyertai beberapa gangguan neurologis.
"tine test, TB tine",Tes skrining untuk tuberkulosis di mana dosis kecil tuberkulin disuntikkan ke dalam serangkaian tempat dalam ruang kecil
tinea {tiña},Infeksi jamur; kurap.
Tinel's sign,"Sensasi ""pin dan jarum"" terasa saat situs saraf yang cedera diketuk."
tinnitus {tinnitus},Dering atau dengung yang konstan di telinga.
tissue,Grup sel apa pun yang bekerja sama untuk melakukan satu fungsi.
"tissue-type plasminogen activator (tPA,TPA)",Agen yang mencegah pembentukan trombus.
T lymphocytes,Lihat sel T.
TNM system,"Tumor, node, sistem metastasis untuk mengkategorikan tumor."
tocolytic agent,Hormon diberikan untuk menghentikan persalinan.
tomography,Jenis pencitraan yang menghasilkan gambar tiga dimensi.
tongue {lengua},Bagian mulut yang berdaging yang menggerakkan makanan selama pengunyahan.
tonic-clonic seizure,"Kejang epilepsi parah disertai kejang, kedutan, dan kehilangan kesadaran."
tonometry {tonometría},Pengukuran ketegangan atau tekanan di dalam mata.
tonsillectomy {tonsilectomía},Pengangkatan amandel.
tonsillitis {tonsillitis},Radang amandel.
topical anesthetic,Anestesi dioleskan ke permukaan kulit.
topically,Di permukaan kulit.
touch {tacto},Kemampuan merasakan sensasi pada kulit.
Tourette syndrome,Gangguan neurologis yang menyebabkan suara bicara dan tics yang tidak terkendali.
toxicology {toxicología},Studi tentang efek berbahaya obat.
trabeculectomy,Pengangkatan sebagian trabekulum untuk memungkinkan aqueous humor mengalir bebas di sekitar mata.
tracer study,Gambar yang menelusuri perjalanan radiofarmasi melalui organ atau jaringan.
trachea {tráquea},Jalan napas dari laring ke bronkus; batang tenggorok.
tracheitis,Peradangan pada trakea.
tracheoplasty {traqueoplastia},Perbaikan trakea.
tracheostomy {traqueostomía},Penciptaan bukaan buatan di trakea.
tracheotomy {traqueotomia},Insisi ke dalam trakea.
traction {tracción},"Menyeret atau menarik atau meluruskan sesuatu, sebagai anggota badan, dengan memasang elastis atau alat lainnya."
trade name,Nama dilindungi hak cipta oleh produsen untuk versi obat tertentu.
traditional Chinese medicine,Beragam praktik yang mempromosikan keseimbangan antara yin dan yang untuk meningkatkan dan menjaga kesehatan.
tranquilizer,Obat yang digunakan untuk meredakan kecemasan.
transcranial sonogram,Gambar otak dihasilkan dengan menggunakan gelombang suara.
transfusion {transfusión},Injeksi darah donor ke seseorang yang membutuhkan darah.
transient ischemic attack,"Insiden neurologis yang singkat biasanya tidak mengakibatkan cedera permanen, tetapi biasanya menandakan bahwa stroke ya"
transverse plane,Garis imajiner yang memotong tubuh secara horizontal.
transverse process,Penonjolan di kedua sisi lengkung vertebralis.
tremor {tremblor},Kontraksi otot yang berulang dan tidak normal.
"trephination, trepanation",Sayatan melingkar ke tengkorak.
trichiasis,Pertumbuhan bulu mata yang tidak normal ke arah yang menyebabkannya bergesekan dengan mata.
tricuspid valve,Katup atrioventrikular di sisi kanan jantung.
tricuspid stenosis,Penyempitan abnormal pada pembukaan katup trikuspid.
triglyceride {triglicérido},Zat lemak; lipid.
trigone {trígono},Area segitiga di dasar kandung kemih tempat masuknya ureter dan uretra keluar dari kandung kemih.
triiodothyronine,(T3) Hormon tiroid yang merangsang pertumbuhan.
trochanter {trocánter},Tonjolan tulang di ujung atas tulang paha.
true ribs,Tujuh rusuk atas dada yang menempel pada tulang dada.
tubercle {tubérculo},Sedikit peninggian tulang tempat ligamen atau otot dapat menempel.
tuberculosis {tuberculosis},Penyakit infeksi akut yang disebabkan oleh bakteri yang disebut basil.
tuberosity {tuberosidad},Elevasi besar di permukaan tulang.
tumor {tumor},Setiap massa jaringan; pembengkakan; pertumbuhan terdiri dari sel-sel yang berkembang biak secara tidak normal.
tylectomy,Operasi pengangkatan tumor terlokalisasi.
tympanic membrane,Gendang pendengar.
tympanitis,Radang gendang telinga.
tympanoplasty,Perbaikan gendang telinga.
Type I diabetes,Gangguan endokrin dengan kadar insulin rendah yang tidak normal; juga dikenal sebagai insulin-dependent diabetes mellitu
Type II diabetes,Penyakit yang disebabkan oleh kegagalan tubuh untuk mengenali insulin yang ada atau oleh tingkat insulin yang sangat ren
ulcer {úlcera},"Lesi terbuka, biasanya dengan hilangnya jaringan di permukaan."
ulcerating,Memiliki luka terbuka.
ulcerative colitis,Radang usus besar dengan bisul.
ulna {ulna},Tulang lengan bawah yang lebih besar.
ultrasonography,Penggunaan gelombang suara untuk menghasilkan gambar interior suatu tubuh.
ultrasound,Gambar hasil ultrasonografi; diproduksi oleh gelombang suara.
ultraviolet light,Sinar matahari buatan digunakan untuk mengobati beberapa lesi kulit.
umbilical cord,Tali pusat yang menghubungkan plasenta di dalam rahim ibu ke pusar janin selama masa gestasi untuk memberi makan janin.
umbilical region,Area tubuh yang mengelilingi umbilikus.
undiffferentiated,Tidak memiliki struktur sel yang ditentukan.
upper respiratory infection,Infeksi pada seluruh atau sebagian saluran pernapasan bagian atas.
uptake,Kecepatan penyerapan radio-farmasi oleh organ atau bagian tubuh tertentu.
urea {urea},Produk limbah metabolisme nitrogen diekskresikan dalam urin normal orang dewasa.
uremia {uremia},Kelebihan urea dan limbah lainnya di dalam darah.
ureter {uréter},Salah satu dari dua tabung yang mengalirkan air seni dari ginjal ke kandung kemih.
ureterectomy,Operasi pengangkatan semua atau sebagian ureter.
ureteroplasty,Perbaikan ureter secara bedah.
ureterorrhaphy,Menjahit ureter.
urethra {uretra},Tabung tempat urin diangkut dari kandung kemih ke bagian luar tubuh.
urethrogram,Foto rontgen uretra dan prostat.
urethropexy,Memperbaiki uretra secara bedah.
urethroplasty,Perbaikan uretra secara bedah.
urethrorrhaphy,Menjahit uretra.
urethrostomy,Terbentuknya celah antara uretra dan bagian luar tubuh.
urethrotomy,Sayatan bedah untuk penyempitan uretra.
uric acid,Limbah nitrogen diekskresikan melalui urin.
uric acid test,Uji kandungan asam dalam urin; peningkatan kadar mungkin mengindikasikan gout.
urinalysis {análisis de orina},Pemeriksaan sifat-sifat urin.
urinary bladder,Lihat kandung kemih.
urinary system,"Sistem tubuh yang meliputi ginjal, ureter, kandung kemih, dan uretra serta membantu memelihara homeostasis dengan membua"
urinary tract infection (UTI),Infeksi saluran kemih.
urine {orina},Cairan dikeluarkan oleh sistem saluran kemih.
urine sugar,Tes untuk diabetes; ditentukan oleh adanya keton atau gula dalam urin.
urology {urología},Spesialisasi medis yang mendiagnosis dan merawat sistem kemih dan sistem reproduksi pria.
urostomy,Terbentuknya lubang di perut bagian luar tubuh untuk keluarnya air seni.
urticaria {urticaria},"Sekelompok bintik kemerahan, biasanya disertai pruritus dan seringkali disebabkan oleh alergi."
uterine tube,Salah satu dari dua saluran yang dilalui sel telur dari ovarium ke rahim.
uterus {útero},Organ reproduksi wanita; situs implantasi setelah pembuahan atau pelepasan lapisan selama menstruasi.
uvea {úvea},"Wilayah mata yang mengandung iris, membran koroid, dan badan siliaris."
uvula {uvula},Proyeksi berbentuk kerucut tergantung ke bawah dari langit-langit lunak.
vaccination {vacunación},Injeksi antigen dari organisme berbeda untuk menyebabkan kekebalan aktif.
vaccine {vacuna},Antigen berkembang dari organisme berbeda yang menyebabkan kekebalan aktif di penerima.
vagina {vagina},Saluran kelamin yang mengarah dari rahim ke vulva.
vaginitis {vaginitis},Peradangan pada vagina.
vagotomy,Pemotongan saraf vagus secara bedah.
valve {válvula},Salah satu dari berbagai struktur yang memperlambat atau mencegah fluida mengalir ke belakang atau ke depan.
valve replacement,Penggantian katup koroner secara bedah.
valvotomy,Insisi ke katup jantung untuk menghilangkan obstruksi.
valvulitis {valvulitis},Peradangan katup jantung.
valvuloplasty {valvuloplastia},Rekonstruksi bedah katup jantung.
varicella {varicela},"Penyakit kulit menular, biasanya terjadi pada masa kanak-kanak, dan sering disertai pembentukan pustula; cacar air."
varicocele {varicocele},Pembesaran vena pada korda spermatika.
varicose vein,"Vena melebar, membesar, atau bengkok, biasanya di kaki."
vas deferens,Tabung sempit tempat sperma meninggalkan epididimis dan berjalan ke vesikula seminalis dan masuk ke uretra.
vascular lesion,Lesi pada pembuluh darah yang terlihat melalui kulit.
vasectomy {vasectomía},Pengangkatan sebagian vas deferens untuk mencegah pembuahan.
vasoconstrictor,Agen yang mempersempit pembuluh darah.
vasodilator,Agen yang melebarkan atau memperlebar pembuluh darah.
vasopressin,Hormon yang disekresikan oleh kelenjar pituitari; meningkatkan tekanan darah.
vasovasostomy {vasovasostomía},Pembalikan vasektomi.
vegetation {vegetación},"Gumpalan pada katup atau bukaan jantung, biasanya disebabkan oleh infeksi."
vein {vena},"Salah satu dari berbagai pembuluh darah yang membawa darah terdeoksigenasi menuju jantung, kecuali vena pulmonalis."
"vena cava (pl., venae cavae)",Lihat vena kava superior dan vena kava inferior.
venipuncture {venipuntura},"Tusukan kecil ke pembuluh darah, biasanya untuk mengambil darah atau menyuntikkan larutan; penyisipan jarum ke pembuluh"
venography {venografía},Melihat vena dengan x-ray setelah injeksi media kontras.
ventilators,Alat bantu pernapasan mekanis.
ventral,Di atau ke arah depan (tubuh).
ventral cavity,"Rongga utama di bagian depan tubuh berisi rongga dada, perut, dan panggul."
ventral thalamus,Salah satu dari empat bagian diencephalon; berfungsi sebagai stasiun pemancar sensorik.
ventricle {ventrículo},1. Salah satu dari dua ruang bawah jantung. 2. Rongga di otak untuk cairan serebrospinal.
ventriculogram,Foto rontgen ventrikel diambil setelah injeksi media kontras.
venule {vénula},Vena kecil yang terhubung ke kapiler.
"verruca (pl., verrucae)","Pertumbuhan berwarna daging, terkadang disebabkan oleh virus; kutil."
verrucous {verruga},Penampilannya seperti kutil.
"vertebra (pl., vertebrae) {vertebra, pl., vertebras}",Salah satu segmen tulang dari tulang belakang.
vertebral body,"Bagian utama tulang belakang, terpisah dari lengkungan tulang belakang."
vertebral column,Kolom tulang belakang.
vertigo {vértigo},Pusing.
vesicle {vesicular},Kantung kecil dan menonjol di kulit yang berisi cairan.
vestibule {vestíbulo},Ruang tulang antara kanal setengah lingkaran dan koklea.
vial {vial},Wadah kecil untuk menyimpan obat cair atau pil.
"villus (pl., villi) {vellosidad}",Proyeksi kecil seperti jari pada lapisan usus kecil dengan kapiler yang melaluinya nutrisi yang dicerna diserap ke dalam
viral meningitis,Meningitis disebabkan oleh virus dan tidak separah meningitis pirogenik.
virilism {virilismo},"Kondisi dengan produksi androgen yang berlebihan, seringkali mengakibatkan munculnya ciri-ciri jantan dewasa pada usia m"
visceral muscle,Otot polos.
visceral pleura,Lapisan dalam pleura.
vitamin {vitamina},Zat organik ditemukan dalam makanan.
vitamin D,Vitamin penting untuk pembentukan tulang.
vitiligo {vitiligo},Kondisi di mana bercak putih muncul pada kulit yang biasanya berpigmen.
vocal cords,Strip jaringan epitel yang bergetar dan berperan besar dalam produksi suara.
voice box,Lihat laring.
"voiding (urinating) cystourethrogram (VCU, VCUG)",Gambar sinar-X dibuat setelah pengenalan media kontras dan saat buang air kecil berlangsung.
voluntary muscle,Otot lurik.
volvulus {vólvulo},Penyumbatan usus yang disebabkan oleh usus yang berputar dengan sendirinya.
vomer {vómer},Tulang pipih membentuk septum hidung.
von Willebrand's disease,Gangguan hemoragik dengan kecenderungan berdarah dari selaput lendir.
vulva {vulva},Alat kelamin wanita bagian luar.
wart {varruga},Lihat veruka.
Western blot,Tes terutama digunakan untuk memeriksa antibodi terhadap HIV dalam serum.
wheal {roncha},Bercak gatal pada kulit yang terangkat.
wheezes {sibilancias},"Bunyi siulan terdengar saat inspirasi pada gangguan pernapasan tertentu, terutama asma."
white blood cell,Salah satu bagian darah padat dari sel induk yang berperan dalam pertahanan melawan penyakit; leukosit.
whitehead {punto blanco},Komedo tertutup yang tidak mengandung bakteri gelap yang ada di komedo.
whooping cough,Lihat pertusis.
Wilms' tumor,Tumor ginjal ganas ditemukan terutama pada anak kecil; nefroblastoma.
windpipe,Lihat trakea.
xenograft {xenoinjerto},Lihat heterograft.
x-ray,Partikel radiasi berenergi tinggi dari bagian dalam suatu zat.
zygomatic,tulang Tulang yang membentuk pipi.
Psychologist,ahli ilmu jiwa
Cardiologist,ahli jantung
Pulmonologist,ahli paru-paru
Neurologist,ahli urat saraf
Ambulance,Ambulan
Anatomy,Anatomi
Pharmacist,Apoteker
Essential fatty acids,Asam lemak asensial
Oxalicacid,Asam oksalat
Hypertension,Asma
Cough,Batuk
Bleedingtes,Berdarah
Nutritious,Bergizi
Checks up,berobat
Midwife,Bidan
Biology,Biologi
Bronchities,bronkitis
Color blind,Buta warna
Chicken pox,Cacar air
Blood,Darah
Endurance,Daya tahan tubuh
Fever,Demam
diarrheea,diare
Diptheria,dipteri
Dysentery,disentri
Doctor,dokter
Pediatriacian,Dokter anak
Dentist,dokter gigi
Obstetrician,Dokter kandungan
Dermatologist,dokter kulit
Internist,dokter penyakit dalam
Aurist,dokter telinga
General Practitioner,dokter umum
Physician,Dokter/tabib
Blood donors,Donor darah
Dose,Dosis
Etiquette,Etiket
Pharmacology,Farmakologi
Pharmacopoeia,Farmakope
Pharmacy,Farmasi
Physiologi,Fisiologi
Mentall disorders,Ganguan jiwa
brain concusion,Geger otak
Nutrient,Gigi
Incisive,Gigi seri
Caninus,Gigi taring
Goiter,Gondok
Hepatitis,hepatitis
Immunization,Imunisasi
Infusion,infus
Herbal tonic,Jamu
Heart disease,Jantungan
Corpse,Jenazah
Pinset,jepitan
Pimple,Jerawat
Bladder,Kantung kemih
Capluse,Kapsul
convulsion,Kejang
Gland himofise,Kelenjar Himofise
Diabetes,Kencing manis
Health,kesehatan
Clinic,klinik
Chlorophyll,Klorofil
Colera,kolera
Cholesterol,Kolestrol
Anemia,Kurang darah
Laboratory,Laboraturium
Neck Tulang,leher
Injury,luka luka
Carsick,mabuk darat
Seasick,Mabuk laut
Airsick,Mabuk udara
Eye,Mata
Oculist Dokter,dokter mata
Medical,Medis
Microscope,Mikroskop
nosebleed,Mimisan
Omega oils,Minyak omega
Narcotics,Narkotika
Medicine,obat
eye drop,obat mata
Drug,obat teguk
Operation,Operasi
Brain,Otak
Muscle,Otot
Muscle backs,Otot punggung
Lungs,Paru-paru
Medical Patient,Pasien Medis
Patient,pasien
Disease in,Penyakit dalam
Beyong disease,Penyakit luar
Infectious disease,Penyakit menular
Nurse,Perawat
Pill,Pil
Cold,Pilek
Fainting,Pingsan
Psychiatrist,psikiater
Psychotropic,psikotoropika
scar,Punya bekas luka
Dizzy,pusing
Hospitalization,Rawat inap
Outpatient,Rawat jalan
Prescription,Resep
Mouth cavity,Rongga Mulut
Maternity house,Rumah bersalin
Hospital,Rumah sakit
Maternity hospital,Rumah sakit bersalin
Influensa,Sakit flu
heart trouble,Sakit jantung
Headache,Sakit kepala
Jaundice,Sakit kuning
Eyeache,sakit mata
Lumbago,Sakit pinggang
Earache,sakit telinga
Healthy,Sehat
Knee joint,Sendi lutut
X-ray,Sinar x
Syndrome x,Sindrom x
Kidney stones,Batu ginjal
High temperature,Suhu badan tinggi
Medulla,Sumsum belakang
injection / Syringe,Suntikan
Ear,Telinga
stratch,Tergores
Wound,Terluka
Cut,Terpotong
Chest,Tulang dada
Heel bone,Tulang lutut
Collar bone,Tulang selangka
Knee capp,Tulang tempurung lut
Emergency room,UGD
Intensive Care,Unit ICU
Gut flora Floro,usus
Kidney,ginjal
